ID,Nombre,Grado,pag,Sector,Grado estandarizado
834,"Magdalenas, Los",6b+,181,Las Barbas de San Pedro,6b+
835,Maguila gorila,7b,261,El Capricho,7b
836,Makinavaja,6a+,75,Arico,6a+
837,Mala leche,¿?,156,El Río,NA
838,Mala lengua,¿?,156,El Río,NA
839,Malas noticias,6b,80,Arico,6b
840,Maldita sea mi suerte,6c,98,Arico,6c
841,Malos perros,6c,261,El Capricho,6c
842,Mándate a mudar,8a,129,Fantasma,8a
843,Mandate un papa,V,133,Fantasma,V
844,Manimanitas,6a,130,Fantasma,6a
845,Manipulador de elementos,8a,240,Guaria,8a
846,Mano negra,¿?,156,El Río,NA
847,Manuel Melo,6b,208,Las Palomas,6b
848,Manuel Melo,6b+,207,Las Palomas,6b+
849,Marcado con sangre,7b,262,El Capricho,7b
850,"Martillo volador, El",6b+,125,Fantasma,6b+
851,Más Franchy,6a,114,La Fuente,6a
852,"Más rara, La",7b+,99,Arico,7b+
853,Más salido que el pico de...,7a,80,Arico,7a
854,Masoquismo,6b,195,Las Vegas,6b
855,Matacán 1,6c+,171,Zona Zero,6c+
856,Matacán 2,7c,171,Zona Zero,7c
857,Matacán 3,7a,171,Zona Zero,7a
858,Matacán 4,6b,171,Zona Zero,6b
859,Matacojo,7b,173,Zona Zero,7b
860,Mátame camión,6c/+,28,Fasnia,6C
861,Matán superstar,7b+,129,Fantasma,7b+
862,Tequilla boom,6b,155,El Río,6b
863,Terreno expropiado,6b+,211,Las Palomas,6b+
864,"Terror de las chiquillas, El",V+,84,Arico,V+
865,Tiempos de lluvia,6b,233,Guaria,6b
866,"Tijereta, La",7a,29,Fasnia,7a
867,Tinerfe,6a,146,Hoyo,6a
868,Tira de cadena,6c,230,Guaria,6c
869,To be continued,6c+/+,127,Fantasma,6C+
870,Todo comienzo es difícil,6b+,182,Las Barbas de San Pedro,6b+
871,Todos con Poli,6a,82,Arico,6a
872,Toi engangao,6c,105,Los Naranjos,6c
873,Tom Sawyer,6a+,198,Las Vegas,6a+
874,Tombombadil,7b,95,Arico,7b
875,Tookiski la soba,7a,262,El Capricho,7a
876,Top model,7b,249,El Capricho,7b
877,Torán,7a,99,Arico,7a
878,"Tortolitos duermen, Los",8a,171,Zona Zero,8a
879,"Tortuga, La",V+,249,El Capricho,V+
880,Toste del pegoste,6a,254,El Capricho,6a
881,Totem Pole Canario,6b,184,Las Barbas de San Pedro,6b
882,"Traición de Jona, La",6a,199,Las Vegas,6a
883,"Trajinaste, El",6b,131,Fantasma,6b
884,Tranki como un berberecho,6b+,80,Arico,6b+
885,Tranki tronko,6b,197,Las Vegas,6b
886,"Tranquitos, Los",6a,222,La Martela,6a
887,Umaguma,6a+,142,Hoyo,6a+
